PaymentId,PaymentNumber,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus
b697d13f-7a94-54af-b76b-1830a14bafae,RE-PMT-F2023001,29c38c47-f51e-5a4a-a6a0-0326ae2bf134,CID-001,2023-01-16,2339.56,ACH,Completed
b52b3bdc-0911-566f-bd24-66b05b795edb,RE-PMT-F2023002,e533fb32-120f-58ee-8229-f9fba2fe5b80,CID-002,2023-01-23,3001.20,Wire,Completed
51324d4d-a484-570f-9cee-d504ccfa1630,RE-PMT-F2023003,7d36d0c9-2750-5232-a26d-7c0479ccfa79,CID-003,2023-01-30,3742.79,REC Registry,Completed
422e764c-375e-59a8-803a-9c9cf2f193d8,RE-PMT-F2023004,e3fff546-2be6-5301-9ebe-3ac275a02af8,CID-004,2023-02-06,4564.33,ACH,Completed
d6116c5c-85be-5002-8764-fd95e1e6bc0d,RE-PMT-F2023005,6accea8d-bd55-5c94-a458-811d74900882,CID-005,2023-02-13,5465.81,Wire,Completed
27b1a6c5-add4-5e2c-a279-980dfe99bcc5,RE-PMT-F2023006,37d38016-e516-57b2-b5ac-7857e8a13372,CID-006,2023-02-20,6319.13,ACH,Completed
17f123ab-e819-5774-bf42-4aff84270f88,RE-PMT-F2023007,9db8b421-a9f4-5602-8e57-590842338da2,CID-007,2023-02-27,7508.64,Wire,Completed
6b21f5bc-cc51-539a-8823-a008e70ef6b1,RE-PMT-F2023008,95fbb37a-e266-515a-85af-48d4745c1468,CID-008,2023-03-06,8649.98,REC Registry,Completed
9ceb79e3-52a5-563f-be21-fd0acf57c1ef,RE-PMT-F2023009,5b000914-50f3-548c-b3cb-6ec5ed053b25,CID-009,2023-03-13,9871.26,ACH,Completed
bf2053b1-e0a7-543c-a6db-9b38a741446c,RE-PMT-F2023010,40892491-49b4-568f-b95f-c78f9a28d239,CID-010,2023-03-20,4469.00,Wire,Completed
78925a40-476f-56ef-9a80-b098797b5937,RE-PMT-F2023011,b42795f5-0333-55e7-a4f2-36b135475a6b,CID-011,2023-03-27,2335.46,ACH,Completed
35b88ba9-2bd8-5034-bd59-67a99b926bd8,RE-PMT-F2023012,b8deea52-8f2c-56ba-aa3a-cfeb8a893cf9,CID-012,2023-04-03,2859.75,Wire,Completed
2d41babb-f727-5fd9-a0ca-17371c940ab3,RE-PMT-F2023013,9a66d055-206e-5ec9-9fdc-4e032ca010b0,CID-013,2023-04-10,3720.24,REC Registry,Completed
73c77f40-fc37-52e1-aaf1-05a37abfc490,RE-PMT-F2023014,bcf40230-11db-52ca-914d-b3784d84f414,CID-014,2023-04-17,4532.55,ACH,Completed
867b459f-44b1-5701-ab14-3e72cc432c21,RE-PMT-F2023015,938e577f-f508-5122-978a-b4a361e20cf2,CID-015,2023-04-24,5424.81,Wire,Completed
eef164d2-ac8d-5dd3-bef5-27327af18833,RE-PMT-F2023016,e01b9c3b-0765-5dc9-831f-84f61612ab13,CID-016,2023-05-01,6397.03,ACH,Completed
4d15f944-07af-50f9-a467-eedab6c54307,RE-PMT-F2023017,348c5288-1d92-5dd1-825b-01f87a1aba24,CID-017,2023-05-08,7449.19,Wire,Completed
93bec9b4-fe5b-528d-84c8-14286121d8bc,RE-PMT-F2023018,8ebeb670-db66-5663-bd2f-29d167b2ffff,CID-018,2023-05-15,8453.18,REC Registry,Completed
d599d1f2-f58c-534b-9448-2912f3b26f54,RE-PMT-F2023019,8cf3e65e-186a-5985-9b6f-db0880301846,CID-019,2023-05-22,3827.86,ACH,Completed
17f63ec3-e547-5022-8b01-9277a5df0278,RE-PMT-F2023020,c4c344e1-6487-5c69-9376-681bb89d1ae7,CID-020,2023-05-29,4750.88,Wire,Completed
170562c5-6447-57f0-945a-0ef734f9d295,RE-PMT-F2023021,9699fb3e-2b5a-5b72-b9ca-d47a73741c7b,CID-021,2023-06-05,5753.84,ACH,Completed
382738fb-9854-55b9-b717-5316f538c299,RE-PMT-F2023022,9600df00-8642-5b29-9b36-35d93827aa35,CID-022,2023-06-12,3437.40,Wire,Completed
ee56ecaa-e82e-5d2d-b050-8c35b7fcc188,RE-PMT-F2023023,5d615709-ed5c-5c6a-bb03-38c1db0c6a41,CID-023,2023-06-19,4290.70,REC Registry,Completed
cd0aa7f1-456c-59c3-b78f-7b3fa90c5114,RE-PMT-F2023024,0426d0fe-152e-568c-a8a0-88e24be94342,CID-024,2023-06-26,5110.22,ACH,Completed
04356681-68b7-5465-960a-3e461a09e748,RE-PMT-F2023025,5f8ceccf-52e0-5b00-b463-7da985203d8b,CID-025,2023-07-03,6280.33,Wire,Completed
22d9ce57-fa4d-5a6e-ae31-804c42895200,RE-PMT-F2023026,8fc449a5-7e36-5593-a36a-981c9a234efc,CID-026,2023-07-10,7416.65,ACH,Completed
f9a40c7c-ce1b-5d56-9a2c-fcf19e8dfd89,RE-PMT-F2023027,3349bb78-9dd6-588f-b55c-7ccf54103181,CID-027,2023-07-17,8647.32,Wire,Completed
590b8d80-b109-5440-8d2f-da0cef1c86b8,RE-PMT-F2023028,84288e1c-9881-55e1-b122-4f600ef54b5c,CID-028,2023-07-24,3803.88,REC Registry,Completed
6cacb0b8-215a-52c1-9313-335a068ff965,RE-PMT-F2023029,cb2ec640-3eca-56e8-8c11-cb50724d90f3,CID-029,2023-07-31,4787.81,ACH,Completed
2b24cad0-0e89-554f-a5df-61fbccb5b6c4,RE-PMT-F2023030,41ee4775-261f-53e0-8fed-76620062a4d1,CID-030,2023-08-07,5737.95,Wire,Completed
