ProductID,Name,Color,StandardCost,ListPrice,Size,Weight,CategoryID,CategoryName
1001,Solar MWh Settlement Product 01,Solar,17.05,27.50,MWh,0.00,301,Solar PPA 01
1002,Wind MWh Settlement Product 02,Wind,18.91,30.50,MWh,0.00,302,Wind PPA 02
1003,Hybrid MWh Settlement Product 03,Hybrid,20.77,33.50,MWh,0.00,303,Hybrid PPA 03
1004,Storage Storage MWh Settlement Product 04,Storage,22.63,36.50,Storage MWh,0.00,304,Storage Services 04
1005,REC REC Settlement Product 05,REC,24.49,39.50,REC,0.00,305,Renewable Energy Credits 05
1006,Capacity MW-month Settlement Product 06,Capacity,26.35,42.50,MW-month,0.00,306,Capacity Attributes 06
1007,Curtailment MWh Settlement Product 07,Curtailment,28.21,45.50,MWh,0.00,307,Curtailment Settlement 07
1008,Green Tariff MWh Settlement Product 08,Green Tariff,30.07,48.50,MWh,0.00,308,Green Tariff 08
1009,Community Solar Subscription MWh Settlement Product 09,Community Solar,31.93,51.50,Subscription MWh,0.00,309,Community Solar 09
1010,Geothermal MWh Settlement Product 10,Geothermal,33.79,54.50,MWh,0.00,310,Hydro and Geothermal 10
1011,Solar MWh Settlement Product 11,Solar,15.19,24.50,MWh,0.00,311,Solar PPA 11
1012,Wind MWh Settlement Product 12,Wind,17.05,27.50,MWh,0.00,312,Wind PPA 12
1013,Hybrid MWh Settlement Product 13,Hybrid,18.91,30.50,MWh,0.00,313,Hybrid PPA 13
1014,Storage Storage MWh Settlement Product 14,Storage,20.77,33.50,Storage MWh,0.00,314,Storage Services 14
1015,REC REC Settlement Product 15,REC,22.63,36.50,REC,0.00,315,Renewable Energy Credits 15
1016,Capacity MW-month Settlement Product 16,Capacity,24.49,39.50,MW-month,0.00,316,Capacity Attributes 16
1017,Curtailment MWh Settlement Product 17,Curtailment,26.35,42.50,MWh,0.00,317,Curtailment Settlement 17
1018,Green Tariff MWh Settlement Product 18,Green Tariff,28.21,45.50,MWh,0.00,318,Green Tariff 18
1019,Community Solar Subscription MWh Settlement Product 19,Community Solar,30.07,48.50,Subscription MWh,0.00,319,Community Solar 19
1020,Geothermal MWh Settlement Product 20,Geothermal,31.93,51.50,MWh,0.00,320,Hydro and Geothermal 20
1021,Solar MWh Settlement Product 21,Solar,33.79,54.50,MWh,0.00,321,Solar PPA 21
1022,Wind MWh Settlement Product 22,Wind,15.19,24.50,MWh,0.00,322,Wind PPA 22
1023,Hybrid MWh Settlement Product 23,Hybrid,17.05,27.50,MWh,0.00,323,Hybrid PPA 23
1024,Storage Storage MWh Settlement Product 24,Storage,18.91,30.50,Storage MWh,0.00,324,Storage Services 24
1025,REC REC Settlement Product 25,REC,20.77,33.50,REC,0.00,325,Renewable Energy Credits 25
1026,Capacity MW-month Settlement Product 26,Capacity,22.63,36.50,MW-month,0.00,326,Capacity Attributes 26
1027,Curtailment MWh Settlement Product 27,Curtailment,24.49,39.50,MWh,0.00,327,Curtailment Settlement 27
1028,Green Tariff MWh Settlement Product 28,Green Tariff,26.35,42.50,MWh,0.00,328,Green Tariff 28
1029,Community Solar Subscription MWh Settlement Product 29,Community Solar,28.21,45.50,Subscription MWh,0.00,329,Community Solar 29
1030,Geothermal MWh Settlement Product 30,Geothermal,30.07,48.50,MWh,0.00,330,Hydro and Geothermal 30
1031,Solar MWh Settlement Product 31,Solar,31.93,51.50,MWh,0.00,331,Solar PPA 31
1032,Wind MWh Settlement Product 32,Wind,33.79,54.50,MWh,0.00,332,Wind PPA 32
1033,Hybrid MWh Settlement Product 33,Hybrid,15.19,24.50,MWh,0.00,333,Hybrid PPA 33
1034,Storage Storage MWh Settlement Product 34,Storage,17.05,27.50,Storage MWh,0.00,334,Storage Services 34
1035,REC REC Settlement Product 35,REC,18.91,30.50,REC,0.00,335,Renewable Energy Credits 35
1036,Capacity MW-month Settlement Product 36,Capacity,20.77,33.50,MW-month,0.00,336,Capacity Attributes 36
1037,Curtailment MWh Settlement Product 37,Curtailment,22.63,36.50,MWh,0.00,337,Curtailment Settlement 37
1038,Green Tariff MWh Settlement Product 38,Green Tariff,24.49,39.50,MWh,0.00,338,Green Tariff 38
1039,Community Solar Subscription MWh Settlement Product 39,Community Solar,26.35,42.50,Subscription MWh,0.00,339,Community Solar 39
1040,Geothermal MWh Settlement Product 40,Geothermal,28.21,45.50,MWh,0.00,340,Hydro and Geothermal 40
1041,Solar MWh Settlement Product 41,Solar,30.07,48.50,MWh,0.00,341,Solar PPA 41
1042,Wind MWh Settlement Product 42,Wind,31.93,51.50,MWh,0.00,342,Wind PPA 42
1043,Hybrid MWh Settlement Product 43,Hybrid,33.79,54.50,MWh,0.00,343,Hybrid PPA 43
1044,Storage Storage MWh Settlement Product 44,Storage,15.19,24.50,Storage MWh,0.00,344,Storage Services 44
1045,REC REC Settlement Product 45,REC,17.05,27.50,REC,0.00,345,Renewable Energy Credits 45
1046,Capacity MW-month Settlement Product 46,Capacity,18.91,30.50,MW-month,0.00,346,Capacity Attributes 46
1047,Curtailment MWh Settlement Product 47,Curtailment,20.77,33.50,MWh,0.00,347,Curtailment Settlement 47
1048,Green Tariff MWh Settlement Product 48,Green Tariff,22.63,36.50,MWh,0.00,348,Green Tariff 48
1049,Community Solar Subscription MWh Settlement Product 49,Community Solar,24.49,39.50,Subscription MWh,0.00,349,Community Solar 49
1050,Geothermal MWh Settlement Product 50,Geothermal,26.35,42.50,MWh,0.00,350,Hydro and Geothermal 50
