PaymentId,PaymentNumber,InvoiceId,CustomerId,PaymentDate,PaymentAmount,PaymentMethod,PaymentStatus
784df8bd-c1a4-50d8-9b19-77e651595341,RE-PMT-ADB2023001,42ef632a-72b1-5900-8b2c-4edcc2e467ed,CID-001,2023-01-16,2339.56,ACH,Completed
d6d925f2-f69b-52fa-8e95-ff1df700bee8,RE-PMT-ADB2023002,b01b4280-75a8-5a28-9d79-17b5a75a2bf1,CID-002,2023-01-23,3001.20,Wire,Completed
06f334f7-7269-55e2-9ad8-b39dd42df431,RE-PMT-ADB2023003,ecf6d1b8-f312-5b7b-93ca-8e33e959190e,CID-003,2023-01-30,3742.79,REC Registry,Completed
02e7956a-1d47-523f-94b5-9e670fd86b3f,RE-PMT-ADB2023004,82a9569d-f4c5-5fd5-9fb2-462c35d27974,CID-004,2023-02-06,4564.33,ACH,Completed
26a82167-7fe7-5642-b2f1-4c9f37ebbf44,RE-PMT-ADB2023005,75f5096b-40e5-5c38-944f-2f1f7ae1880c,CID-005,2023-02-13,5465.81,Wire,Completed
40280270-1812-5ffe-9a67-f81675b2fce7,RE-PMT-ADB2023006,bd1d2052-8e77-5854-a054-706de55b2ab5,CID-006,2023-02-20,6319.13,ACH,Completed
740e3c7a-3cee-5a32-b46b-f827fecc6058,RE-PMT-ADB2023007,2a277f40-7cda-5bd9-b721-92adb5ce7f23,CID-007,2023-02-27,7508.64,Wire,Completed
029c8280-3fba-5ae2-96fd-4897f05433a3,RE-PMT-ADB2023008,bee46ec2-9b62-53ba-8231-065d81b95d7f,CID-008,2023-03-06,8649.98,REC Registry,Completed
9fb11edb-5dcc-5d85-9afd-0747a342d8a8,RE-PMT-ADB2023009,45084d6e-3535-51c6-aab1-988ded5106e4,CID-009,2023-03-13,9871.26,ACH,Completed
79d9d297-b835-5dbe-9ed8-091133fbb908,RE-PMT-ADB2023010,13e97490-7089-5544-92d8-b824588b7669,CID-010,2023-03-20,4469.00,Wire,Completed
95690932-9295-5add-9faa-6cadb5ed330f,RE-PMT-ADB2023011,81df0b11-7f7e-54ed-b340-b3be98f9bd03,CID-011,2023-03-27,2335.46,ACH,Completed
6ba917c1-44b0-57a5-aea8-ab86558c0cf1,RE-PMT-ADB2023012,10f217c5-07b0-502e-bf9a-b6c9f102dc4c,CID-012,2023-04-03,2859.75,Wire,Completed
bc19cc35-0d7a-5be2-9c7a-0ae8b9aaeb79,RE-PMT-ADB2023013,750ff9c2-1463-5a50-904b-3e30103381c1,CID-013,2023-04-10,3720.24,REC Registry,Completed
1dee9fe8-5c16-5dc2-815d-6f81369c543f,RE-PMT-ADB2023014,b09219ef-ae4d-5bbf-91a5-697e5fd1eb17,CID-014,2023-04-17,4532.55,ACH,Completed
b24f6331-7217-5312-bd9c-d7cb7c4b6e96,RE-PMT-ADB2023015,d397e904-6f28-5dc4-938d-e1d6de8062bd,CID-015,2023-04-24,5424.81,Wire,Completed
d7dac6f1-0a1f-5c36-a64d-b5839f420cd1,RE-PMT-ADB2023016,5932b129-4f8d-5b68-9d5e-5c2a8ebca6de,CID-016,2023-05-01,6397.03,ACH,Completed
6fdca1be-645f-51b2-8d2b-0beaa5527343,RE-PMT-ADB2023017,5433d5d3-8f38-5482-8ba6-fd2c08236d0f,CID-017,2023-05-08,7449.19,Wire,Completed
951a0cba-c612-5a88-9860-740e0b1e9e49,RE-PMT-ADB2023018,31b8a582-e488-506a-83d3-aa4e699b572b,CID-018,2023-05-15,8453.18,REC Registry,Completed
69f0dd09-051a-5144-bd98-94dba9c242ad,RE-PMT-ADB2023019,d6f92a8d-a9cc-583a-920f-11364610a5db,CID-019,2023-05-22,3827.86,ACH,Completed
