ProductID,Name,Color,StandardCost,ListPrice,Size,Weight,CategoryID
1,"HL Road Frame - Black, 58",Black,1059.31,1431.5,58,1016.04,18
2,"HL Road Frame - Red, 58",Red,1059.31,1431.5,58,1016.04,18
3,"Sport-100 Helmet, Red",Red,13.0863,34.99,,,35
4,"Sport-100 Helmet, Black",Black,13.0863,34.99,,,35
5,"Mountain Bike Socks, M",White,3.3963,9.5,M,,27
6,"Mountain Bike Socks, L",White,3.3963,9.5,L,,27
7,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,,,35
8,AWC Logo Cap,Multi,6.9223,8.99,,,23
9,"Long-Sleeve Logo Jersey, S",Multi,38.4923,49.99,S,,25
10,"Long-Sleeve Logo Jersey, M",Multi,38.4923,49.99,M,,25
11,"Long-Sleeve Logo Jersey, L",Multi,38.4923,49.99,L,,25
12,"Long-Sleeve Logo Jersey, XL",Multi,38.4923,49.99,XL,,25
13,"HL Road Frame - Red, 62",Red,868.6342,1431.5,62,1043.26,18
14,"HL Road Frame - Red, 44",Red,868.6342,1431.5,44,961.61,18
15,"HL Road Frame - Red, 48",Red,868.6342,1431.5,48,979.75,18
16,"HL Road Frame - Red, 52",Red,868.6342,1431.5,52,997.9,18
17,"HL Road Frame - Red, 56",Red,868.6342,1431.5,56,1016.04,18
18,"LL Road Frame - Black, 58",Black,204.6251,337.22,58,1115.83,18
19,"LL Road Frame - Black, 60",Black,204.6251,337.22,60,1124.9,18
20,"LL Road Frame - Black, 62",Black,204.6251,337.22,62,1133.98,18
21,"LL Road Frame - Red, 44",Red,187.1571,337.22,44,1052.33,18
22,"LL Road Frame - Red, 48",Red,187.1571,337.22,48,1070.47,18
23,"LL Road Frame - Red, 52",Red,187.1571,337.22,52,1088.62,18
24,"LL Road Frame - Red, 58",Red,187.1571,337.22,58,1115.83,18
25,"LL Road Frame - Red, 60",Red,187.1571,337.22,60,1124.9,18
26,"LL Road Frame - Red, 62",Red,187.1571,337.22,62,1133.98,18
27,"ML Road Frame - Red, 44",Red,352.1394,594.83,44,1006.97,18
28,"ML Road Frame - Red, 48",Red,352.1394,594.83,48,1025.11,18
29,"ML Road Frame - Red, 52",Red,352.1394,594.83,52,1043.26,18
30,"ML Road Frame - Red, 58",Red,352.1394,594.83,58,1070.47,18
31,"ML Road Frame - Red, 60",Red,352.1394,594.83,60,1079.54,18
32,"LL Road Frame - Black, 44",Black,204.6251,337.22,44,1052.33,18
33,"LL Road Frame - Black, 48",Black,204.6251,337.22,48,1070.47,18
34,"LL Road Frame - Black, 52",Black,204.6251,337.22,52,1088.62,18
35,"HL Mountain Frame - Silver, 42",Silver,747.2002,1364.5,42,1233.76,16
36,"HL Mountain Frame - Silver, 44",Silver,706.811,1364.5,44,1251.91,16
37,"HL Mountain Frame - Silver, 48",Silver,706.811,1364.5,48,1270.05,16
38,"HL Mountain Frame - Silver, 46",Silver,747.2002,1364.5,46,1288.2,16
39,"HL Mountain Frame - Black, 42",Black,739.041,1349.6,42,1233.76,16
40,"HL Mountain Frame - Black, 44",Black,699.0928,1349.6,44,1251.91,16
41,"HL Mountain Frame - Black, 48",Black,699.0928,1349.6,48,1270.05,16
42,"HL Mountain Frame - Black, 46",Black,739.041,1349.6,46,1288.2,16
43,"HL Mountain Frame - Black, 38",Black,739.041,1349.6,38,1215.62,16
44,"HL Mountain Frame - Silver, 38",Silver,747.2002,1364.5,38,1215.62,16
45,"Road-150 Red, 62",Red,2171.2942,3578.27,62,6803.85,6
46,"Road-150 Red, 44",Red,2171.2942,3578.27,44,6245.93,6
47,"Road-150 Red, 48",Red,2171.2942,3578.27,48,6409.23,6
48,"Road-150 Red, 52",Red,2171.2942,3578.27,52,6540.77,6
49,"Road-150 Red, 56",Red,2171.2942,3578.27,56,6658.7,6
50,"Road-450 Red, 58",Red,884.7083,1457.99,58,8069.37,6
51,"Road-450 Red, 60",Red,884.7083,1457.99,60,8119.26,6
52,"Road-450 Red, 44",Red,884.7083,1457.99,44,7606.7,6
53,"Road-450 Red, 48",Red,884.7083,1457.99,48,7770,6
54,"Road-450 Red, 52",Red,884.7083,1457.99,52,7901.54,6
55,"Road-650 Red, 58",Red,486.7066,782.99,58,8976.55,6
56,"Road-650 Red, 60",Red,486.7066,782.99,60,9026.44,6
57,"Road-650 Red, 62",Red,486.7066,782.99,62,9071.8,6
58,"Road-650 Red, 44",Red,486.7066,782.99,44,8513.88,6
59,"Road-650 Red, 48",Red,486.7066,782.99,48,8677.18,6
60,"Road-650 Red, 52",Red,486.7066,782.99,52,8808.72,6
61,"Road-650 Black, 58",Black,486.7066,782.99,58,8976.55,6
62,"Road-650 Black, 60",Black,486.7066,782.99,60,9026.44,6
63,"Road-650 Black, 62",Black,486.7066,782.99,62,9071.8,6
64,"Road-650 Black, 44",Black,486.7066,782.99,44,8513.88,6
65,"Road-650 Black, 48",Black,486.7066,782.99,48,8677.18,6
66,"Road-650 Black, 52",Black,486.7066,782.99,52,8808.72,6
67,"Mountain-100 Silver, 38",Silver,1912.1544,3399.99,38,9230.56,5
68,"Mountain-100 Silver, 42",Silver,1912.1544,3399.99,42,9421.06,5
69,"Mountain-100 Silver, 44",Silver,1912.1544,3399.99,44,9584.36,5
70,"Mountain-100 Silver, 48",Silver,1912.1544,3399.99,48,9715.9,5
71,"Mountain-100 Black, 38",Black,1898.0944,3374.99,38,9230.56,5
72,"Mountain-100 Black, 42",Black,1898.0944,3374.99,42,9421.06,5
73,"Mountain-100 Black, 44",Black,1898.0944,3374.99,44,9584.36,5
74,"Mountain-100 Black, 48",Black,1898.0944,3374.99,48,9715.9,5
75,"Mountain-200 Silver, 38",Silver,1265.6195,2319.99,38,10591.33,5
76,"Mountain-200 Silver, 42",Silver,1265.6195,2319.99,42,10781.83,5
77,"Mountain-200 Silver, 46",Silver,1265.6195,2319.99,46,10945.13,5
78,"Mountain-200 Black, 38",Black,1251.9813,2294.99,38,10591.33,5
79,"Mountain-200 Black, 42",Black,1251.9813,2294.99,42,10781.83,5
