CategoryID,ParentCategoryId,CategoryName,CategoryDescription,BrandName,BrandLogoUrl,IsActive
18,Parent_1,Road Frames,Road Frames From Contoso,Contoso Gears,url comming in future,TRUE
35,Parent_1,Helmets,Helmets From Contoso,Contoso Gears,url comming in future,TRUE
27,Parent_1,Socks,Socks From Contoso,Contoso Gears,url comming in future,TRUE
23,Parent_1,Caps,Caps From Contoso,Contoso Gears,url comming in future,TRUE
25,Parent_1,Jerseys,Jerseys From Contoso,Contoso Gears,url comming in future,TRUE
16,Parent_1,Mountain Frames,Mountain Frames From Contoso,Contoso Gears,url comming in future,TRUE
6,Parent_1,Road Bikes,Road Bikes From Contoso,Contoso Gears,url comming in future,TRUE
5,Parent_1,Mountain Bikes,Mountain Bikes From Contoso,Contoso Gears,url comming in future,TRUE
14,Parent_1,Forks,Forks From Contoso,Contoso Gears,url comming in future,TRUE
15,Parent_1,Headsets,Headsets From Contoso,Contoso Gears,url comming in future,TRUE
8,Parent_1,Handlebars,Handlebars From Contoso,Contoso Gears,url comming in future,TRUE
21,Parent_1,Wheels,Wheels From Contoso,Contoso Gears,url comming in future,TRUE
26,Parent_1,Shorts,Shorts From Contoso,Contoso Gears,url comming in future,TRUE
39,Parent_1,Panniers,Panniers From Contoso,Contoso Gears,url comming in future,TRUE
38,Parent_1,Locks,Locks From Contoso,Contoso Gears,url comming in future,TRUE
40,Parent_1,Pumps,Pumps From Contoso,Contoso Gears,url comming in future,TRUE
37,Parent_1,Lights,Lights From Contoso,Contoso Gears,url comming in future,TRUE
28,Parent_1,Tights,Tights From Contoso,Contoso Gears,url comming in future,TRUE
22,Parent_1,Bib-Shorts,Bib-Shorts From Contoso,Contoso Gears,url comming in future,TRUE
24,Parent_1,Gloves,Gloves From Contoso,Contoso Gears,url comming in future,TRUE
29,Parent_1,Vests,Vests From Contoso,Contoso Gears,url comming in future,TRUE
32,Parent_1,Bottles and Cages,Bottles and Cages From Contoso,Contoso Gears,url comming in future,TRUE
41,Parent_1,Tires and Tubes,Tires and Tubes From Contoso,Contoso Gears,url comming in future,TRUE
30,Parent_1,Bike Racks,Bike Racks From Contoso,Contoso Gears,url comming in future,TRUE
33,Parent_1,Cleaners,Cleaners From Contoso,Contoso Gears,url comming in future,TRUE
34,Parent_1,Fenders,Fenders From Contoso,Contoso Gears,url comming in future,TRUE
31,Parent_1,Bike Stands,Bike Stands From Contoso,Contoso Gears,url comming in future,TRUE
36,Parent_1,Hydration Packs,Hydration Packs From Contoso,Contoso Gears,url comming in future,TRUE
20,Parent_1,Touring Frames,Touring Frames From Contoso,Contoso Gears,url comming in future,TRUE
13,Parent_1,Derailleurs,Derailleurs From Contoso,Contoso Gears,url comming in future,TRUE
10,Parent_1,Brakes,Brakes From Contoso,Contoso Gears,url comming in future,TRUE
19,Parent_1,Saddles,Saddles From Contoso,Contoso Gears,url comming in future,TRUE
17,Parent_1,Pedals,Pedals From Contoso,Contoso Gears,url comming in future,TRUE
12,Parent_1,Cranksets,Cranksets From Contoso,Contoso Gears,url comming in future,TRUE
11,Parent_1,Chains,Chains From Contoso,Contoso Gears,url comming in future,TRUE
7,Parent_1,Touring Bikes,Touring Bikes From Contoso,Contoso Gears,url comming in future,TRUE
9,Parent_1,Bottom Brackets,Bottom Brackets From Contoso,Contoso Gears,url comming in future,TRUE
51,Parent_1,Tents,Tents From Contoso,Contoso Gears,url comming in future,TRUE
52,Parent_1,Backpacks,Backpacks From Contoso,Contoso Gears,url comming in future,TRUE
53,Parent_1,Hiking Clothing,Hiking Clothing From Contoso,Contoso Gears,url comming in future,TRUE
54,Parent_1,Hiking Footwear,Hiking Footwear From Contoso,Contoso Gears,url comming in future,TRUE
55,Parent_1,Camping Tables,Camping Tables From Contoso,Contoso Gears,url comming in future,TRUE
56,Parent_1,Camping Stoves,Camping Stoves From Contoso,Contoso Gears,url comming in future,TRUE
57,Parent_1,Sleeping Bags,Sleeping Bags From Contoso,Contoso Gears,url comming in future,TRUE
